Customer Name,Date,Customer ID,Email Address,Phone Number,Shipping Address,Order Number,Issue Reported,Service Representative,Response Time,Resolution,Follow-up Needed,Customer Feedback,
Henry Smith,11/30/24,806485,henry.smith@email.com,-9886,"442 Pinehill Road, San Jose, CA 95101",4736742017," Henry’s MaxSpin 1000 washing machine is stopping mid-cycle. The machine powers ob unexpectedly during the wash cycle, and sometimes, it won’t start at all. Henry tried resetting the machine and unplugging it, but the issue persists. He suspects a problem with the power board or electrical connections. ",Monica Taylor,35 minutes," Monica explained that sudden power losses mid-cycle are often caused by a faulty power board or a short circuit in the machine’s wiring. She recommended checking the error codes on the display, but since there were none, she scheduled a technician visit through Field Service Management to inspect the power board and electrical components. ","Yes, technician visit scheduled to inspect and replace power board."," Rating: 2 Comments: ""I’m really disappointed with the frequent breakdowns of this machine. I’ve had to call for service several times."" Source System: Field Service Management  ---  ### Customer Service Log 29 Customer Information",
Diana Evans,12/1/24,807220,diana.evans@email.com,-7553,"2001 Aspen Court, Dallas, TX 75001",4737853099," Diana’s QuickClean 700 washing machine is displaying a ""water level sensor"" error. The machine seems to be overﬁlling during cycles, and Diana conﬁrmed that the water level sensor may need to be replaced. She tried recalibrating the machine, but the issue persists. ",Jason Lee,18 minutes," Jason conﬁrmed that a faulty water level sensor could be causing the issue and guided Diana through resetting the sensor. Since resetting didn’t resolve the error, he scheduled a technician visit through SAP to replace the water level sensor and calibrate it. ","Yes, technician visit scheduled to replace water level sensor."," Rating: 4 Comments: ""Good support, but I’m hoping the sensor replacement ﬁxes the problem for good."" Source System: SAP  ---   ### Customer Service Log 30 Customer Information",
Julia Green,12/2/24,808451,julia.green@email.com,-2220,"1250 Hilltop Blvd, Miami, FL 33101",4741102358," Julia’s EcoSpin 2000 washing machine has a persistent odor after each wash cycle, even after running an empty cycle with vinegar. She mentioned that the smell seems to come from the drum, and she suspects there may be mold or mildew buildup, despite cleaning the machine regularly. ",Liam Harris,30 minutes," Liam explained that odors are commonly caused by mold or mildew buildup in the door seal or drum. He advised Julia to check the drain pump ﬁlter and door seal for residue and moisture. After conﬁrming the issue persisted, he scheduled a technician visit via SAP to perform a thorough cleaning and inspection of the drum, pump, and seals to eliminate the odor. ","Yes, technician visit scheduled to clean and inspect drum and"," Rating: 3 Comments: ""I’m disappointed that the smell keeps coming back. I hope the technician can ﬁx it for good."" Source System: SAP  ---  ### Customer Service Log 31 Customer Information",
Darren King,12/3/24,809276,darren.king@email.com,-3998,"9457 Oakwood Drive, Orlando, FL 32801",4742239081," Darren’s SpinMaster 500 washing machine is experiencing dibiculty completing the wash cycle. The machine often gets stuck on the wash phase, and Darren needs to restart the cycle to complete it. He suspects an issue with the motor or timer mechanism. ",Rachel Scott,25 minutes," Rachel explained that a machine stuck on the wash phase is often due to a faulty timer or motor not completing the cycle. She walked Darren through resetting the machine and checking for any error codes. Since the issue persisted, Rachel escalated the issue to Field Service Management for an on-site technician visit. The technician would inspect the motor, timer, and control board to identify the root cause. ","Yes, technician visit scheduled to inspect motor and timer."," Rating: 4 Comments: ""I’m glad the support team is investigating. It’s frustrating to restart the cycle every time."" Source System: Field Service Management  ---  ### Customer Service Log 32 Customer Information",
Martin Edwards,12/4/24,810112,martin.edwards@email.com,-998,"2030 Birchwood St, San Diego, CA 92101",4743247621," Martin’s QuickClean 1500 washing machine is not agitating during the wash cycle. The drum remains still, and the clothes are not being washed properly. Martin checked the agitator and ensured the drum was not overloaded, but the issue persists. ",Sarah White,18 minutes," Sarah explained that a lack of agitation can be caused by a faulty agitator motor, coupling, or belt. She guided Martin through verifying the belt and the agitator for any visible damage. Since the issue continued, Sarah escalated the case to SAP for a technician to inspect the agitator motor and coupling for potential failure. ","Yes, technician visit scheduled to inspect agitator motor and"," Rating: 3 Comments: ""The support was decent, but I really need the agitator ﬁxed. It’s making washing clothes a hassle."" Source System: SAP  ---  ### Customer Service Log 33 Customer Information",
Emily White,12/5/24,811439,emily.white@email.com,-10441,"1287 Sunset Blvd, Los Angeles, CA 90001",4744365920," Emily’s WashSmart 800 washing machine has a noisy spin cycle. The machine makes a loud, high-pitched noise when it reaches full spin speed. Emily conﬁrmed there are no clothes caught in the drum, and the machine seems level. She suspects a problem with the drum bearings or drive belt. ",Greg Stone,27 minutes," Greg explained that the noise is likely caused by worn drum bearings or a loose drive belt. He walked Emily through checking for any visible issues with the belt and drum but conﬁrmed that these appeared ﬁne. Since the noise persisted, he scheduled a Field Service Management technician visit to inspect and possibly replace the drum bearings or drive belt. ","Yes, technician visit scheduled to inspect and replace drum"," Rating: 4 Comments: ""The noise is getting really annoying. Hopefully, the technician can ﬁx it soon."" Source System: Field Service Management  ---  ### Customer Service Log 34 Customer Information",
Patricia Moore,12/6/24,812876,patricia.moore@email.com,-7442,"3564 Oakhill Drive, Atlanta, GA 30301",4745523477," Patricia reported that her SuperWash 1200 washing machine stopped mid-cycle and won’t restart. She mentioned that the machine was working ﬁne until it suddenly turned ob during the rinse cycle. She has tried pressing the reset button and unplugging the machine, but it still won't power back on. ",Jason Brooks,40 minutes," Jason explained that a machine turning ob mid-cycle could be caused by a power board failure, faulty wiring, or overheating protection. He guided Patricia through checking the plug and outlet for issues but conﬁrmed there were none. He then escalated the case to SAP for a technician visit to inspect and possibly replace the power board and test the internal wiring. ","Yes, technician visit scheduled to inspect and replace power board."," Rating: 2 Comments: ""Very frustrating that the machine just turned ob. I’ve had enough of these power issues."" Source System: SAP  ---  ### Customer Service Log 35 Customer Information",
Vanessa James,12/7/24,813492,vanessa.james@email.com,-2442,"2795 Pine View Rd, Chicago, IL 60602",4746601093," Vanessa’s WashPro 2000 washing machine is draining very slowly during the rinse cycle, and the drum is often left with standing water. She conﬁrmed that the ﬁlter is clean, and the drain hose appears clear. She suspects a malfunction in the drain pump or a blockage in the internal pump hose. ",Lisa Clark,33 minutes," Lisa advised Vanessa that slow draining could indicate a faulty drain pump or a blockage in the pump hose. She recommended checking the pump ﬁlter for any residual debris. Since the issue persisted, Lisa scheduled a technician visit via Field Service Management to inspect and test the drain pump and pump hose for clogs or faults. ","Yes, technician visit scheduled to inspect and replace drain pump."," Rating: 5 Comments: ""I’m glad the technician is coming soon. I need the machine to drain properly before I can use it again."" Source System: Field Service Management  ---  ### Customer Service Log 36 Customer Information",
Sophia Evans,2024-12,814256,sophia.evans@email.com,-8664,"1985 Crestwood Lane, Houston, TX 77001",4747703817, Sophia reported that her TurboClean 500 washing machine is having an issue with water temperature. The machine is stuck on cold wash even when she selects a hot water setting. She suspects the heating element or temperature sensor is malfunctioning. ,Robert Turner,22 minutes," Robert explained that a washing machine stuck on cold wash is typically due to a faulty heating element or temperature sensor. He guided Sophia through checking the water inlet valve to ensure it's working properly. Since the problem persisted, Robert arranged for a technician visit via SAP to replace the heating element and test the temperature sensor for functionality. ","Yes, technician visit scheduled to inspect and replace heating"," Rating: 4 Comments: ""I appreciate the support. I just need the temperature issue ﬁxed quickly so I can use the machine again."" Source System: SAP  ---  ### Customer Service Log 37 Customer Information",
Carla Peterson,12/9/24,815774,carla.peterson@email.com,-10997,"1368 Grand Avenue, San Francisco, CA 94110",4748865105," Carla’s EcoWash 1200 washing machine is not ﬁlling with water properly during the wash cycle. The machine starts, but no water enters the drum, leaving the clothes dry. Carla checked the water supply and the inlet valve and conﬁrmed they are both working correctly. ",Matthew Lee,30 minutes," Matthew explained that no water ﬁlling the drum could be caused by a faulty water inlet valve or a clogged ﬁlter. He walked Carla through checking the valve ﬁlter and the supply hoses for blockages. Since the issue persisted, Matthew arranged for a technician visit via Field Service Management to inspect and replace the water inlet valve. ","Yes, technician visit scheduled to inspect and replace water inlet"," Rating: 3 Comments: ""I’m frustrated that the machine isn’t working. I’m hoping the technician can ﬁx the issue soon."" Source System: Field Service Management  ---  ### Customer Service Log 38 Customer Information",
Edward Ross,12/10/24,816042,edward.ross@email.com,-6442,"4507 Pine Hill Road, Portland, OR 97201",4749981340," Edward reported that his SpinWash 1800 washing machine’s door won’t lock properly. The machine starts a wash cycle but stops after a few minutes, showing a door lock error. Edward conﬁrmed that there is no obstruction in the door mechanism, and the door appears aligned. ",Karen Fisher,24 minutes," Karen explained that a door lock error can be caused by a faulty door latch or door lock mechanism. She advised Edward to check for any visible damage to the door components. Since the issue continued, Karen scheduled a technician visit via SAP to inspect and replace the door lock mechanism. ","Yes, technician visit scheduled to inspect and replace door lock."," Rating: 4 Comments: ""The issue seems to be with the door. I hope the technician can get it ﬁxed without much hassle."" Source System: SAP  ---  ### Customer Service Log 39 Customer Information",
Marcus Johnson,12/11/24,817592,marcus.johnson@email.com,-3220,"1584 Redwood Ave, Sacramento, CA 95814",4751112378," Marcus reported that his TurboClean 500 washing machine was not draining at the end of the cycle. He mentioned that there was standing water in the drum after each wash, even though the drain hose was clear. Marcus suspected an issue with the drain pump or ﬁlter. ",Anna Gray,28 minutes," Anna advised Marcus to clean the drain ﬁlter and inspect the hose for any visible clogs. Since the issue persisted, she scheduled a technician visit via Field Service Management to inspect and replace the drain pump if necessary. ","Yes, technician visit scheduled to inspect and replace drain pump."," Rating: 4 Comments: ""I’m frustrated with this issue, but the support was decent. Hopefully the technician can ﬁnally ﬁx it."" Source System: Field Service Management  ---  ### Customer Service Log 40 Customer Information",
Linda Anderson,12/12/24,818130,linda.anderson@email.com,-7108,"1983 Pinecrest Way, Denver, CO 80202",4752203899," Linda’s WashMaster 3000 washing machine is stopping mid-cycle without completing the wash or spin phases. She has tried resetting the machine multiple times, but it keeps shutting ob randomly. She suspects a problem with the timer or control board. ",Oliver Harris,22 minutes," Oliver walked Linda through checking the error codes and suggested resetting the machine multiple times. After conﬁrming the issue persisted, he escalated the case to SAP for a technician visit to inspect the control board and timer. ","Yes, technician visit scheduled to inspect and replace control"," Rating: 5 Comments: ""Thank you for helping. I hope this issue is resolved. The machine has been a nightmare for the past week."" Source System: SAP  ---  ### Customer Service Log 41 Customer Information",
Frank Lewis,12/13/24,819444,frank.lewis@email.com,-10108,"2156 Horizon St, Chicago, IL 60611",4753401755," Frank’s MaxSpin 2000 washing machine is making a loud banging noise during the spin cycle. Frank mentioned that he made sure the machine was properly leveled, but the noise is still very loud and disruptive. He suspects an issue with the drum bearings or suspension springs. ",Kelly Morgan,18 minutes," Kelly explained that the noise could be due to worn drum bearings or suspension springs. She advised Frank to check the suspension springs for any visible damage. Since the issue persisted, Kelly arranged a technician visit via Field Service Management to inspect and replace the drum bearings. ","Yes, technician visit scheduled to inspect and replace drum"," Rating: 3 Comments: ""The noise is unbearable. I can’t stand it anymore. Please get this ﬁxed ASAP!"" Source System: Field Service Management  ---  ### Customer Service Log 42 Customer Information",
Nathan Parker,12/14/24,820289,nathan.parker@email.com,-6886,"3327 Maple St, Phoenix, AZ 85001",4754536791," Nathan reported that his QuickWash 1000 washing machine won’t start after selecting a wash cycle. The control panel lights up, but the machine does not initiate any wash actions. Nathan suspected a malfunction with the control board or start switch. ",Jasmine Lee,35 minutes, Jasmine walked Nathan through checking the control panel and ensuring the door was properly closed. She conﬁrmed the issue persisted and scheduled a technician visit via SAP to inspect and replace the control board or start switch. ,"Yes, technician visit scheduled to inspect and replace control"," Rating: 2 Comments: ""I am so sick of this machine. This is the third time I’ve had problems! I just want a replacement!"" Source System: SAP  ---  ### Customer Service Log 43 Customer Information",
Amanda Green,12/15/24,821377,amanda.green@email.com,-9219,"9084 Valley Rd, Portland, OR 97223",4755641032," Amanda’s EcoSpin 2000 washing machine is not spinning properly during the ﬁnal cycle. The clothes are coming out soaking wet, and the machine appears to be underperforming on the spin cycle. She suspects a problem with the drum motor or drive belt. ",Thomas White,20 minutes," Thomas advised Amanda that a malfunctioning drum motor or drive belt could cause incomplete spinning. After troubleshooting, he escalated the issue to Field Service Management for a technician visit to inspect and replace the drum motor or drive belt. ","Yes, technician visit scheduled to inspect and replace drum motor."," Rating: 5 Comments: ""It’s been frustrating, but the support has been helpful. Hopefully, the technician can get this ﬁxed."" Source System: Field Service Management  ---  ### Customer Service Log 44 Customer Information",
Kevin Taylor,12/16/24,822651,kevin.taylor@email.com,-5220,"1223 Oakridge Drive, Las Vegas, NV 89101",4756724389," Kevin’s WashPro 1200 washing machine is not dispensing detergent during the wash cycle. Despite adding detergent to the dispenser, it remains in the compartment, and the clothes don’t seem to be cleaned properly. Kevin suspects a blockage in the detergent dispenser system. ",Olivia Moore,30 minutes," Olivia explained that detergent not dispensing could be caused by a clogged dispenser or a malfunctioning water inlet valve. After guiding Kevin through cleaning the dispenser, she conﬁrmed the issue persisted and escalated the issue to SAP for a technician visit to inspect the dispenser system and water valve. ","Yes, technician visit scheduled to inspect and clean dispenser"," Rating: 4 Comments: ""I’m annoyed that the detergent isn’t dispensing correctly. I expect a better product."" Source System: SAP  ---  ### Customer Service Log 45 Customer Information",
Alicia Harris,12/17/24,823493,alicia.harris@email.com,-7553,"3121 Elm St, New York, NY 10001",4757834098," Alicia’s SpinMaster 1000 washing machine is producing a burning smell during the spin cycle. She said the smell is noticeable even when no heavy loads are being washed. Alicia is concerned it might be a sign of a more serious issue, possibly with the motor or wiring. ",Daniel Clark,25 minutes, Daniel recommended that Alicia unplug the machine immediately as a safety precaution and not use it  until it’s inspected. He scheduled a technician visit via Field Service Management to inspect and potentially replace the motor or wiring that could be causing the burning smell. ,"Yes, technician visit scheduled to inspect and replace motor."," Rating: 5 Comments: ""I’m scared to use it after that smell. Thank you for the fast response. Please ﬁx this!"" Source System: Field Service Management  ---  ### Customer Service Log 46 Customer Information",
Julie Roberts,12/18/24,824006,julie.roberts@email.com,-9886,"2217 Sun Valley Dr, Dallas, TX 75201",4758957320," Julie’s EcoWash 1500 washing machine is leaking water from underneath the machine. The leak is noticeable when the machine starts the wash cycle, and it leaves puddles around the machine. Julie suspects a problem with the water pump or drain hose. ",Nathan Collins,30 minutes," Nathan guided Julie to check the water hoses and pump ﬁlter for any visible leaks or damage. Since the leak continued, he scheduled a technician visit via SAP to inspect and replace the water pump or hose. ","Yes, technician visit scheduled to inspect and replace pump."," Rating: 1 Comments: ""This is ridiculous! The machine has been leaking for days and no one is ﬁxing it. I’m done with this brand!"" Source System: SAP  ---  ### Customer Service Log 47 Customer Information",
Brian Mitchell,12/19/24,825137,brian.mitchell@email.com,-1442,"2571 Briarwood Dr, Austin, TX 73301",4760018825," Brian’s SmartWash 700 washing machine won’t drain properly at the end of the cycle. Water remains in the drum after completing the cycle, and the clothes are still soaked. Brian tried checking the drain hose and ﬁlter but the problem persists. ",Helen Scott,25 minutes," Helen explained that the issue could be caused by a faulty drain pump or blockage in the drain hose. After troubleshooting, she scheduled a technician visit via Field Service Management to inspect and replace the drain pump. ","Yes, technician visit scheduled to inspect and replace pump."," Rating: 3 Comments: ""I’ve had enough of these problems. If the technician doesn’t ﬁx it soon, I’ll demand a refund."" Source System: Field Service Management   ---  ### Customer Service Log 48 Customer Information",
Thomas Williams,12/20/24,826255,thomas.williams@email.com,-10886,"1152 Ashwood Dr, Minneapolis, MN 55123",4761134120," Thomas reported that his UltraWash 3000 washing machine is vibrating excessively during the spin cycle, causing the whole unit to shake and move across the ﬂoor. He mentioned that he had leveled the machine but the issue continues. ",Mark Johnson,22 minutes," Mark explained that an unbalanced load or worn suspension springs could be causing the vibration. He guided Thomas through checking the load distribution and inspecting the suspension springs. Since the issue persisted, Mark scheduled a technician visit via SAP to inspect and replace the suspension springs. ","Yes, technician visit scheduled to inspect and replace suspension"," Rating: 4 Comments: ""I’m glad someone’s coming to ﬁx it, but I’ve had enough of this. I just want the machine to work properly!"" Source System: SAP  ---  ### Customer Service Log 49 Customer Information",
Jessica Bryant,12/21/24,827404,jessica.bryant@email.com,-2442,"4632 Birchwood Rd, San Diego, CA 92103",4762231882," Jessica’s SmartWash 500 washing machine is not agitating properly during the wash cycle. The drum spins slowly, and clothes are not being cleaned as expected. Jessica believes the agitator or motor is malfunctioning. ",Nancy Hall,30 minutes," Nancy walked Jessica through checking the agitator for blockages and conﬁrmed it was moving improperly. Since the issue wasn’t resolved, she escalated the case via Field Service Management for a technician visit to inspect and replace the agitator or motor. ","Yes, technician visit scheduled to inspect and replace agitator."," Rating: 5 Comments: ""The support team was helpful, but I’m really annoyed this happened right after the warranty expired."" Source System: Field Service Management  ---  ### Customer Service Log 50 Customer Information",
Natalie Cooper,12/22/24,828552,natalie.cooper@email.com,-6331,"1056 Kings Rd, Orlando, FL 32801",4763347501," Natalie’s TurboSpin 1200 washing machine is leaking water from the bottom panel during the wash cycle. The water pools on the ﬂoor around the machine, and Natalie suspects a problem with the water pump or seal. ",Leo Davis,26 minutes," Leo explained that a water leak could be caused by a damaged water seal or faulty water pump. He advised Natalie to inspect the water hose and drain ﬁlter for any visible damage. Since the leak persisted, Leo scheduled a technician visit via SAP to inspect and replace the water pump or seal. ","Yes, technician visit scheduled to inspect and replace water pump."," Rating: 2 Comments: ""This is the second time my machine is leaking. I’m getting tired of this brand. FIX IT."" Source System: SAP  ---  ### Customer Service Log 51 Customer Information",
Adam Rodriguez,12/23/24,829701,adam.rodriguez@email.com,-4331,"2987 Oak Valley Dr, Miami, FL 33101",4764450613," Adam’s QuickWash 1500 washing machine is not spinning at all during the ﬁnal spin cycle. The clothes are coming out wet and heavy, and the drum does not rotate. Adam has checked the door lock and load balance, but the problem persists. ",Carla Moore,24 minutes," Carla explained that the issue could be due to a broken drive belt or faulty motor. She advised Adam to inspect the drive belt for any visible damage. Since the issue wasn’t resolved, Carla scheduled a technician visit via Field Service Management to inspect and replace the drive belt or motor. ","Yes, technician visit scheduled to inspect and replace drive belt."," Rating: 5 Comments: ""I’m hoping this gets ﬁxed soon. I’ve already had too many issues with this machine."" Source System: Field Service Management  ---  ### Customer Service Log 52 Customer Information",
Barbara Grant,12/24/24,830014,barbara.grant@email.com,-5664,"5743 Riverside Ave, Austin, TX 73301",4765564392," Barbara’s EcoSpin 1000 washing machine is overheating during the wash cycle. The temperature sensor seems to be malfunctioning as the water gets hotter than expected, potentially damaging clothes. Barbara has conﬁrmed that the thermostat and water inlet valve are functioning. ",Daniel Scott,33 minutes, Daniel explained that overheating can be caused by a faulty temperature sensor or malfunctioning control board. He escalated the issue via SAP and scheduled a technician visit to inspect and replace the temperature sensor or control board. ,"Yes, technician visit scheduled to inspect and replace temperature"," Rating: 3 Comments: ""The machine shouldn’t be overheating like this. It’s frustrating, especially since it’s brand new!"" Source System: SAP  ---  ### Customer Service Log 53 Customer Information",
Eric Foster,12/25/24,831179,eric.foster@email.com,-2553,"7455 Hilltop Ln, Los Angeles, CA 90001",4766678245," Eric’s SpinClean 800 washing machine is not draining water at the end of the cycle. The water remains in the drum, and the clothes are still soaking wet. Eric has already cleaned the drain ﬁlter and checked the drain hose but the issue persists. ",Helen Taylor,20 minutes, Helen explained that the issue could be with the drain pump or a blockage in the drain hose. She arranged a technician visit via Field Service Management to inspect the pump and hose for any obstructions. ,"Yes, technician visit scheduled to inspect and replace drain pump."," Rating: 1 Comments: ""I’ve had enough of this junk! It’s been a month of issues and no one’s ﬁxing it! Get this thing replaced."" Source System: Field Service Management  ---  ### Customer Service Log 54 Customer Information",
Samuel Lewis,12/26/24,832254,samuel.lewis@email.com,-998,"1586 Willow Creek Rd, Dallas, TX 75201",4767789337," Samuel’s WashMaster 4000 washing machine is producing a strange odor during the wash cycle. He suspects the drain pump or ﬁlter might be clogged, but he cannot ﬁnd any visible issues. ",Anna Walker,30 minutes," Anna advised Samuel to clean the drain pump and ﬁlter thoroughly. After conﬁrming the issue persisted, she scheduled  a technician visit via SAP to inspect the pump and ﬁlter system for any internal clogs. ","Yes, technician visit scheduled to inspect and clean pump."," Rating: 4 Comments: ""The odor is unbearable, but at least I have someone coming to ﬁx it."" Source System: SAP  ---  ### Customer Service Log 55 Customer Information",
Rachel White,12/27/24,833411,rachel.white@email.com,-3998,"3185 Creekside Dr, San Francisco, CA 94105",4768890246," Rachel’s MaxSpin 2000 washing machine is not completing the wash cycle. The machine shuts ob halfway through, and she needs to restart it multiple times to ﬁnish the cycle. She suspects an issue with the timer or control board. ",Jennifer Miller,29 minutes," Jennifer advised Rachel to check for any error codes or obstructions. Since the issue persisted, she escalated the issue to Field Service Management for a technician visit to inspect and replace the timer or control board. ","Yes, technician visit scheduled to inspect and replace control"," Rating: 2 Comments: ""I don’t care about the technician visit. Just ﬁx this machine! It’s been down too long."" Source System: Field Service Management  ---  ### Customer Service Log 56 Customer Information",
Peter Knight,12/28/24,834558,peter.knight@email.com,-8553,"2450 Glenwood Rd, Seattle, WA 98101",4770003942," Peter’s TurboClean 1500 washing machine is not starting when he presses the power button. The lights on the control panel come on, but it doesn’t respond when he selects a cycle. Peter suspects a problem with the start button or control board. ",Brian King,27 minutes," Brian walked Peter through checking the power connections and error codes. After conﬁrming the issue persisted, he escalated the case via SAP and scheduled a technician visit to inspect the control board. ","Yes, technician visit scheduled to inspect and replace control"," Rating: 4 Comments: ""I’m beyond frustrated at this point. This machine is brand new and it’s already broken!"" Source System: SAP  ---   ### Customer Service Log 57 Customer Information",
Erica Matthews,12/29/24,835744,erica.matthews@email.com,-5331,"9725 Maplewood St, Portland, OR 97205",4771123567, Erica's EcoWash 1000 washing machine is making a loud grinding noise during the wash cycle. She suspects an issue with the drive belt or motor. ,James Carter,28 minutes, James explained that the grinding noise could be due to a worn drive belt or damaged motor bearings. He scheduled a technician visit via SAP to inspect and potentially replace the drive belt or motor. ,"Yes, technician visit scheduled to inspect and replace drive belt."," Rating: 3 Comments: ""It’s been so frustrating. I don’t know how this machine got so loud so quickly. Let’s see if the technician can ﬁx it."" Source System: SAP  ---  ### Customer Service Log 58 Customer Information",
Michael Spencer,12/30/24,836011,michael.spencer@email.com,-10219,"1156 Eagle St, Denver, CO 80203",4772234568," Michael reported that his SpinMaster 2500 washing machine isn’t spinning at all. The drum remains stationary, and clothes are still soaked after the cycle. ",Emily White,24 minutes," Emily suggested that the drum motor could be faulty, or there could be an issue with the drive belt. She scheduled a technician visit via Field Service Management to inspect and replace the motor or drive belt. ","Yes, technician visit scheduled to inspect and replace motor."," Rating: 5 Comments: ""Quick and ebicient response. I hope the technician can ﬁx it soon."" Source System: Field Service Management  ---  ### Customer Service Log 59 Customer Information",
Jennifer Thomas,12/31/24,836895,jennifer.thomas@email.com,-7442,"3446 Sunridge Ave, Phoenix, AZ 85001",4773345569," Jennifer's MaxSpin 3000 washing machine is not draining properly, and water is left standing in the drum after each cycle. She believes there may be a blockage in the drain hose or ﬁlter. ",Laura Phillips,21 minutes," Laura advised Jennifer to clean the drain ﬁlter and inspect the hose for obstructions. When the issue wasn’t resolved, Laura escalated the case via SAP to schedule a technician visit to check the drain pump and hose. ","Yes, technician visit scheduled to inspect and clean the drain pump."," Rating: 4 Comments: ""The technician better sort this out. I’ve cleaned everything and it’s still broken."" Source System: SAP  ---  ### Customer Service Log 60 Customer Information",
Steve Harvey,1/1/25,837112,steve.harvey@email.com,-6664,"7900 Northview Dr, Seattle, WA 98109",4774456670, Steve reported that his QuickClean 5000 washing machine’s display screen is ﬂickering and showing random error codes. He’s unable to start a cycle because of this malfunction. ,Sam Collins,19 minutes, Sam explained that the issue could be related to the control board or wiring. He scheduled a technician visit via Field Service Management to inspect and replace the control board. ,"Yes, technician visit scheduled to inspect and replace control"," Rating: 2 Comments: ""How hard is it to make a washing machine that actually works? I’m sick of having to call for repairs."" Source System: Field Service Management  ---  ### Customer Service Log 61 Customer Information",
Karen Brooks,1/2/25,838225,karen.brooks@email.com,-2553,"6715 Valley Dr, Chicago, IL 60601",4775567781," Karen’s EcoSpin 2000 washing machine is overheating during the wash cycle. The water temperature is rising too high, potentially ruining clothes. ",Patricia Lee,32 minutes, Patricia explained that overheating could be caused by a malfunctioning thermostat or control board. She scheduled a technician visit via SAP to inspect and replace the thermostat or control board. ,"Yes, technician visit scheduled to inspect and replace thermostat."," Rating: 3 Comments: ""This is not what I expected from a high-end machine. Can you get this sorted out quickly?"" Source System: SAP  ---  ### Customer Service Log 62 Customer Information",
David King,1/3/25,839478,david.king@email.com,-3775,"8903 Pinehurst Dr, Houston, TX 77001",4776678892," David’s TurboWash 800 washing machine is not starting at all. The power button doesn’t respond, and there are no lights on the control panel. ",Brian Martin,25 minutes," Brian suggested checking the power supply and circuit breaker. Since the machine still wouldn’t start, he escalated the case via Field Service Management to schedule a technician visit to inspect the control board and power connections. ","Yes, technician visit scheduled to inspect and replace control"," Rating: 1 Comments: ""This is insane. I’ve only had this machine for a year, and it’s already broken. This brand is trash."" Source System: Field Service Management  ---  ### Customer Service Log 63 Customer Information",
Angela Hill,1/4/25,840325,angela.hill@email.com,-8997,"1108 Crestwood Rd, Los Angeles, CA 90015",4777789921, Angela’s SmartWash 7000 washing machine is not spinning clothes dry. The machine goes through the wash cycle but leaves the clothes soaking wet. ,Kevin Clark,27 minutes, Kevin suggested that the spin motor or pump could be malfunctioning. He arranged a technician visit via SAP to inspect and replace the spin motor or pump. ,"Yes, technician visit scheduled to inspect and replace motor."," Rating: 4 Comments: ""I need this ﬁxed. I can’t abord to keep waiting for a solution."" Source System: SAP  ---  ### Customer Service Log 64 Customer Information",
Richard Young,1/5/25,841196,richard.young@email.com,-9553,"4822 Oakview Dr, Dallas, TX 75209",4778891104, Richard’s SpinForce 2500 washing machine is stopping midway through the wash cycle and not draining the water  . ,Olivia Stone,34 minutes," Olivia suggested checking for any blockages in the drain hose and pump. Since the issue wasn’t resolved, she escalated the case via Field Service Management to schedule a technician visit to inspect the pump and drain hose. ","Yes, technician visit scheduled to inspect pump."," Rating: 2 Comments: ""I’m so done with this machine. I can’t trust it to work. Just get it ﬁxed already."" Source System: Field Service Management  ---  ### Customer Service Log 65 Customer Information",
Lisa Green,1/6/25,842401,lisa.green@email.com,-5775,"5224 Ashford Ave, Miami, FL 33165",4779912335, Lisa’s TurboClean 1500 washing machine is vibrating excessively during the spin cycle and making an unusual screeching noise. ,Scott Gray,29 minutes," Scott explained that the issue could be related to unbalanced loads or a faulty suspension system. Since the issue persisted, he escalated the case via SAP and scheduled a technician visit to inspect the suspension springs and balance. ","Yes, technician visit scheduled to inspect suspension springs."," Rating: 3 Comments: ""I’ve leveled the machine, but it’s still vibrating like crazy. Something’s clearly wrong."" Source System: SAP  ",
